Date,Open,High,Low,Close,Adj Close,Volume
2019-06-03,2860.000000,2860.000000,2860.000000,2860.000000,2746.583008,0
2019-06-04,2860.000000,2860.000000,2860.000000,2860.000000,2746.583008,0
2019-06-05,2860.000000,2860.000000,2860.000000,2860.000000,2746.583008,0
2019-06-06,2860.000000,2860.000000,2860.000000,2860.000000,2746.583008,0
2019-06-07,2860.000000,2860.000000,2860.000000,2860.000000,2746.583008,0
2019-06-10,2950.000000,3020.000000,2910.000000,2940.000000,2823.410645,14450100
2019-06-11,2980.000000,3000.000000,2920.000000,2940.000000,2823.410645,5801400
2019-06-12,2980.000000,2980.000000,2860.000000,2900.000000,2784.996826,6123100
2019-06-13,2850.000000,2870.000000,2810.000000,2860.000000,2746.583008,8567800
2019-06-14,2860.000000,2930.000000,2840.000000,2860.000000,2746.583008,5537200
2019-06-17,2900.000000,2900.000000,2820.000000,2850.000000,2736.979492,2026100
2019-06-18,2850.000000,2930.000000,2850.000000,2910.000000,2794.600098,6053800
2019-06-19,null,null,null,null,null,null
2019-06-20,3050.000000,3050.000000,2980.000000,2990.000000,2871.427734,10083200
2019-06-21,3000.000000,3040.000000,2850.000000,2900.000000,2784.996826,8630700
2019-06-24,2910.000000,2950.000000,2830.000000,2860.000000,2746.583008,2968700
2019-06-25,2830.000000,2900.000000,2830.000000,2860.000000,2746.583008,4768200
2019-06-26,2870.000000,2930.000000,2870.000000,2920.000000,2804.203613,4080800
2019-06-27,2930.000000,2950.000000,2890.000000,2920.000000,2804.203613,4830300
2019-06-28,2950.000000,3010.000000,2910.000000,2980.000000,2861.824219,16338700
2019-07-01,3000.000000,3040.000000,2950.000000,2990.000000,2871.427734,7193000
2019-07-02,3000.000000,3010.000000,2960.000000,2960.000000,2842.617432,4694000
2019-07-03,2960.000000,2990.000000,2850.000000,2860.000000,2746.583008,7888800
2019-07-04,2870.000000,2900.000000,2820.000000,2850.000000,2736.979492,7483000
2019-07-05,2850.000000,2920.000000,2810.000000,2900.000000,2784.996826,8873400
2019-07-08,2920.000000,2930.000000,2850.000000,2860.000000,2746.583008,3213600
2019-07-09,2890.000000,2940.000000,2870.000000,2930.000000,2813.807129,2796200
2019-07-10,2950.000000,2950.000000,2870.000000,2890.000000,2775.393311,4467600
2019-07-11,2940.000000,2940.000000,2870.000000,2900.000000,2784.996826,4126000
2019-07-12,2920.000000,2920.000000,2850.000000,2860.000000,2746.583008,5579900
2019-07-15,2870.000000,2940.000000,2860.000000,2930.000000,2813.807129,7362100
2019-07-16,2930.000000,2970.000000,2910.000000,2940.000000,2823.410645,7216200
2019-07-17,2940.000000,3020.000000,2910.000000,2980.000000,2861.824219,9777300
2019-07-18,2980.000000,3170.000000,2970.000000,3110.000000,2986.669189,21650300
2019-07-19,3130.000000,3150.000000,3080.000000,3110.000000,2986.669189,10942200
2019-07-22,3110.000000,3140.000000,3080.000000,3100.000000,2977.065674,8278100
2019-07-23,3100.000000,3220.000000,3090.000000,3160.000000,3034.686035,17721600
2019-07-24,3160.000000,3200.000000,3120.000000,3120.000000,2996.272217,7569800
